iter	Passed	Remaining
977	9894	222
978	9903	212
979	9910	202
980	9919	192
981	9928	181
982	9937	171
983	9946	161
984	9955	151
985	9964	141
986	9970	131
987	9985	121
988	10006	111
989	10027	101
990	10037	91
991	10047	81
992	10058	70
993	10066	60
994	10074	50
995	10083	40
996	10091	30
997	10098	20
998	10106	10
999	10114	0
